x,y,z
2.155588,1.326880,0.286755
1.746990,1.262103,0.477007
1.647829,1.280126,-0.320600
1.499368,0.009766,-0.997272
1.783675,0.942714,-0.309885
2.749432,1.560588,0.005135
1.298085,0.690331,-0.121101
1.652259,1.626176,-0.041470
2.736666,0.188639,-0.285575
0.910235,0.287635,-0.252126
1.497756,0.268484,0.185976
0.755315,0.039499,0.276943
0.767576,1.943018,-0.104378
1.596696,0.791196,-0.765578
1.707236,0.896013,0.226413
1.271969,0.340454,-0.575957
1.590697,-0.240110,-0.127228
2.426035,-0.044142,-0.358115
1.701376,0.731271,0.542472
1.178125,0.703627,-0.863999
1.161151,0.377229,-0.027199
1.574191,1.153294,-0.175000
1.458032,-0.205587,0.202951
1.778036,1.310560,0.428361
1.518332,0.384999,0.470482
2.368105,-0.865590,-0.134906
0.712821,0.903207,-1.626561
2.315856,0.910082,0.565317
2.458220,-0.181383,-0.393354
2.829767,1.892985,0.144379
1.699187,0.485519,0.159222
1.966699,0.441503,-0.307532
1.746564,-0.022980,-1.141373
1.009397,0.947810,0.320838
1.655602,0.158157,-0.763985
2.174550,0.261390,0.406718
2.188170,1.998755,0.182382
2.334288,0.741632,0.296751
1.357614,1.050897,-0.240420
1.835735,1.213407,-0.035656
2.048514,0.644145,0.249989
1.035524,1.092631,-0.387308
1.692994,-0.337611,0.269410
1.874653,1.257999,0.515063
1.313095,0.646301,0.127173
1.570184,-0.525860,-0.315253
1.801160,0.208828,-0.132953
1.702955,0.944584,0.044522
1.940937,0.450961,-0.048684
1.819648,0.789947,0.085947
2.063246,0.368323,0.681369
0.711186,0.776622,-0.210417
