x,y,z
1.569689,-0.626191,-0.278842
-0.380567,-1.709208,0.035158
-1.893212,0.769245,-0.264884
1.544610,0.428460,-0.307647
0.214714,-0.707043,-0.457739
-2.138079,0.559831,-0.673052
1.620598,-0.164525,0.291232
-0.324741,-0.330186,-0.811543
-1.500149,-0.102525,0.299974
2.082396,1.017913,0.010863
-0.266846,-1.877377,-0.168883
-2.070372,1.188697,0.450985
1.447230,-0.578033,-0.042549
0.140761,-1.570926,-0.047315
-1.534199,-0.054682,-0.239561
2.173026,1.056435,0.835912
-0.711620,-0.904605,-0.629795
-0.888465,0.260316,-0.094493
2.684696,1.085133,-0.487368
-0.154795,-1.436639,0.797364
-1.668415,1.334293,0.866693
1.477486,0.086781,0.593970
-0.307724,-1.397419,-0.925115
-1.364553,2.804446,0.580786
3.302142,0.397781,-0.557249
-0.047088,-0.549137,-0.370502
-2.039893,-0.308554,0.205482
2.020639,0.157274,-0.547170
-1.550252,-0.329289,0.422151
-1.379157,0.625317,-0.342723
2.572085,0.891368,-0.653613
0.216695,-1.040795,-0.779468
-1.681359,-1.162220,-0.040668
2.439628,0.900507,1.162520
-0.017439,0.370477,0.859512
-2.584405,1.074955,0.335395
1.182538,1.388686,-0.561009
-0.022299,-1.374330,0.592682
-1.800126,1.636629,0.367627
1.588728,-0.097705,-0.133789
-0.164645,-0.128922,-0.559631
-1.713951,-0.040198,-0.913897
1.936207,-0.199234,-0.519456
0.512268,-2.086422,0.181556
-0.971746,1.277893,-0.021235
2.303638,-0.348447,-0.520242
-0.223853,-1.701763,0.430787
-1.351474,-0.410386,0.518152
1.797971,0.415174,-0.004872
0.262319,-0.493098,-0.265030
-1.815081,-0.008368,-0.265586
1.386153,-1.153575,0.502196
-0.546191,-1.630662,-0.281688
-1.702949,1.265144,0.210818
1.617824,1.049025,0.432954
0.574820,0.106424,0.720731
-1.968576,0.146127,1.065520
2.746062,-0.140919,-0.275195
-0.409351,-1.126036,-0.526997
-1.928490,0.110367,-0.774019
1.935293,0.546768,-0.025725
-0.390582,-0.834126,0.628822
-2.321573,-0.051267,0.553789
1.962990,1.009071,0.483431
0.391912,-2.324554,0.321880
-2.162115,0.292228,-0.452988
2.673135,0.184914,0.313017
0.224470,-1.443252,0.957137
-1.381446,-0.062958,0.427948
0.862859,-0.492395,-0.192070
0.089648,-1.162938,0.046523
-1.925380,1.120379,-0.815813
2.422102,-0.020420,0.565728
-0.898068,-1.445189,-0.624850
-0.800175,0.503467,-0.120873
2.067376,-0.363427,-0.750640
0.179098,0.010413,-0.142526
-2.139493,-0.486369,0.079897
1.343809,0.732646,-1.130548
0.189963,-0.776042,-0.205536
-1.839815,0.637372,-0.003380
1.346045,-0.799984,0.110044
0.237297,-0.805653,1.089198
-1.636395,1.660917,0.726067
2.452576,0.816285,0.126004
-0.863984,-1.709803,1.127574
-1.328868,0.120709,0.824763
2.499519,0.671255,0.381204
-0.519790,-1.354860,0.528342
-1.358856,1.264728,-0.164710
2.516611,0.991430,0.202153
-0.121316,-0.923140,-0.555475
-1.865762,1.158223,-0.791836
1.276046,0.930538,0.485378
-0.190215,-0.726336,-1.100977
-2.104860,1.621037,0.315592
2.007183,0.037996,0.047971
-0.565633,-0.658747,-0.165844
-1.047805,0.586267,0.438170
0.931679,-1.256647,0.036749
0.112693,-1.164800,0.269500
-1.223361,0.564301,0.981026
2.272825,0.646119,0.219556
-0.074142,-1.385736,0.788423
-1.566011,-0.227803,-0.592827
1.489195,0.517600,-0.239010
-0.411441,-1.556209,-0.153147
-2.438002,-0.311283,-0.223836
2.184590,2.693035,-1.144520
-0.364321,-0.631413,-0.868080
-2.138967,1.003197,-0.490446
1.842903,1.228356,0.571743
-0.139284,-0.114536,-1.344644
-1.567694,0.892711,0.136171
1.604573,-0.094876,0.355942
-0.096407,-0.471818,-0.107023
-1.862449,1.009352,0.675466
1.434595,-0.446045,0.366702
0.518510,-0.758897,0.223375
-1.754454,-0.855057,0.175653
2.837934,1.015284,-0.305412
0.422956,-2.013591,-0.024444
-1.563840,0.910698,-0.402200
1.338648,1.314853,-0.208058
-0.288295,-1.040851,-0.334903
-2.549596,0.588249,-0.108855
1.453377,0.799796,-0.033548
-0.505400,-1.614863,-0.532352
-1.833326,1.548902,-1.427975
2.617688,1.490811,-0.370121
-0.161438,-0.462698,-0.307698
-2.244326,0.960665,-0.117865
1.647811,0.151923,-0.407889
-0.781551,-0.386991,-0.373393
-1.629174,0.900511,0.269451
2.752613,1.019565,1.309078
0.015654,-1.554379,0.284475
-1.148757,1.037719,-0.279383
0.595691,0.049656,0.461986
0.101318,-1.506882,-0.123639
-2.265949,0.313733,0.792635
1.278242,0.921082,-0.019773
0.687016,-1.019235,-0.205470
-1.757514,1.221571,-0.142145
2.345930,0.197315,0.645641
-0.982474,-0.382765,-0.369900
-1.942563,-0.024777,0.385227
1.492570,0.287216,-0.379813
-0.132337,-0.650450,0.322964
-2.064600,1.577925,0.401566
